Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/HxvrBI3eFZPZ,James Willcox,Second,Paul Upfold,8,20,WON,85,96,100,66,44,78,32,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,Second,Paul Tudor,1,21,LOST,60,85,43,100,59,98,46,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,First,Oscar King,1,22,WON,90,30,100,45,59,59,94,24,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,First,Paul Tudor,2,24,LOST,45,42,45,85,60,100,87,29,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,Second,Oscar King,2,23,WON,58,40,59,60,98,100,6,80,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,Second,Paul Tudor,3,17,WON,60,85,100,140,80,36,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,First,Oscar King,3,18,LOST,40,87,58,36,100,75,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,First,Paul Tudor,4,21,WON,25,55,85,100,85,91,60,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,Second,Oscar King,4,18,LOST,100,100,59,68,56,78,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,Second,Paul Tudor,5,25,WON,41,140,45,40,60,43,82,34,16,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,First,Oscar King,5,27,LOST,60,28,28,85,40,55,36,99,50,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,First,Paul Tudor,6,21,LOST,60,55,55,85,140,59,7,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,Second,Oscar King,6,21,WON,60,46,68,140,60,47,80,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,Second,Paul Tudor,7,17,WON,140,59,98,100,72,32,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,First,Oscar King,7,18,LOST,26,81,46,45,83,70,,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Oscar King,First,Paul Tudor,8,20,WON,96,43,100,60,162,20,20,,,
Morden,,,18/07/2025,Semi-Final,https://www.dartsatlas.com/matches/GTgJgvLQHqGe,Paul Tudor,Second,Oscar King,8,18,LOST,100,60,25,24,85,100,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,Second,Charlie Green,1,17,WON,43,100,125,137,36,60,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,First,Paul Upfold,1,18,LOST,55,60,59,96,140,51,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,First,Charlie Green,2,22,WON,31,81,125,45,94,30,71,24,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,Second,Paul Upfold,2,21,LOST,57,82,46,60,58,58,40,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,Second,Charlie Green,3,18,LOST,60,40,97,45,95,139,,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,First,Paul Upfold,3,21,WON,55,125,80,45,40,55,101,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,First,Charlie Green,4,23,WON,61,60,44,81,60,59,100,36,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,Second,Paul Upfold,4,21,LOST,60,100,85,95,87,64,6,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,Second,Charlie Green,5,21,LOST,84,32,44,17,44,43,45,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,First,Paul Upfold,5,24,WON,43,33,41,100,60,60,124,40,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Paul Upfold,First,Charlie Green,6,29,WON,85,44,140,55,60,41,62,0,0,14
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/NrPBvexNLDcs,Charlie Green,Second,Paul Upfold,6,27,LOST,76,45,58,62,60,100,80,10,0,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,First,Jono Harding,1,23,WON,81,42,121,100,43,42,40,32,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,Second,James Willcox,1,21,LOST,100,22,47,96,28,41,91,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,Second,Jono Harding,2,20,WON,41,56,140,58,81,85,40,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,Jono Harding,First,James Willcox,2,21,LOST,81,45,85,59,29,58,42,,,
Morden,,,18/07/2025,Quarter-Final,https://www.dartsatlas.com/matches/5ytZ7lbIGwoK,James Willcox,First,Jono Harding,3,19,WON,140,57,60,60,140,36,8,,,
