Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21,Throw_22,Throw_23
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/ZzXrjK23XRa1,Callum Spoor,Second,Robert Parry,1,49,WON,64,18,32,33,37,62,13,35,21,40,37,53,39,0,9,0,8,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/ZzXrjK23XRa1,Robert Parry,Second,Callum Spoor,2,30,LOST,15,26,54,33,58,61,45,34,15,65,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/ZzXrjK23XRa1,Callum Spoor,First,Robert Parry,2,33,WON,62,72,87,17,37,66,30,34,22,44,30,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/z63dqe3byDQk,Michel Dominguez,First,Charlie Hardie,1,45,LOST,10,70,41,21,45,60,60,43,21,125,1,2,0,0,0,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/z63dqe3byDQk,Charlie Hardie,Second,Michel Dominguez,1,43,WON,81,60,41,41,45,43,83,50,32,21,0,0,0,0,4,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/z63dqe3byDQk,Michel Dominguez,Second,Charlie Hardie,2,27,LOST,41,41,21,60,81,40,22,60,55,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/z63dqe3byDQk,Charlie Hardie,First,Michel Dominguez,2,29,WON,60,60,80,67,60,35,43,34,22,40,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/jsb0TkGRlh5h,Theodore Rowan,First,Robert Parry,1,38,WON,94,60,60,43,44,30,60,20,50,20,0,0,20,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/jsb0TkGRlh5h,Robert Parry,Second,Theodore Rowan,1,36,LOST,41,26,60,36,47,18,56,54,48,90,1,22,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/jsb0TkGRlh5h,Theodore Rowan,Second,Robert Parry,2,30,WON,45,60,26,82,82,83,39,59,0,25,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/jsb0TkGRlh5h,Robert Parry,First,Theodore Rowan,2,30,LOST,66,45,24,30,106,18,73,20,39,40,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/pXDnSPMx0dFp,Dylan Merrick,First,Callum Spoor,1,62,WON,43,61,60,60,24,45,7,61,30,9,13,9,39,0,35,0,0,0,1,0,4,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/pXDnSPMx0dFp,Callum Spoor,Second,Dylan Merrick,1,60,LOST,60,27,39,13,12,41,66,11,46,38,12,45,39,12,24,0,0,0,0,0,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/pXDnSPMx0dFp,Dylan Merrick,Second,Callum Spoor,2,44,WON,30,41,41,28,41,41,26,43,60,55,55,0,0,30,10,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/pXDnSPMx0dFp,Callum Spoor,First,Dylan Merrick,2,45,LOST,26,22,140,30,39,21,26,43,54,17,25,18,20,0,10,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/gQ6FC18sxnhm,Charlie Hardie,Second,Robert Parry,1,28,WON,40,52,88,45,39,45,64,63,45,20,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/gQ6FC18sxnhm,Robert Parry,First,Charlie Hardie,1,30,LOST,60,55,28,34,23,30,30,30,83,19,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/gQ6FC18sxnhm,Charlie Hardie,First,Robert Parry,2,47,WON,77,45,67,42,24,64,47,85,30,10,0,0,0,0,8,2,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/gQ6FC18sxnhm,Robert Parry,Second,Charlie Hardie,2,45,LOST,31,39,30,12,64,38,57,37,31,33,16,39,54,15,1,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Callum Spoor,Second,Theodore Rowan,1,28,WON,13,55,80,140,66,20,83,30,0,14,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Theodore Rowan,First,Callum Spoor,1,30,LOST,24,39,26,28,100,42,45,26,82,59,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Callum Spoor,First,Theodore Rowan,2,27,LOST,60,17,5,48,60,95,83,22,45,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Theodore Rowan,Second,Callum Spoor,2,26,WON,81,43,95,25,41,41,27,101,47,,,,,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Callum Spoor,Second,Theodore Rowan,3,39,LOST,23,57,22,35,58,45,28,45,38,52,40,26,24,,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/sJiaiT2prnOA,Theodore Rowan,First,Callum Spoor,3,42,WON,100,80,85,13,58,43,40,42,8,24,4,0,2,2,,,,,,,,,
Ruislip,,,23-11-2025,Group 2,https://www.dartsatlas.com/matches/mml8r8gQv8mY,Michel Dominguez,Second,Dylan Merrick,1,36,LOST,30,41,26,100,40,83,81,25,22,0,33,10,,,,,,,,,,,
