Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Kieran Parsons,First,Bradley Mackay,2,24,LOST,100,60,60,135,37,35,34,25,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Bradley Mackay,Second,Kieran Parsons,2,24,WON,60,36,93,85,81,60,37,49,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Kieran Parsons,Second,Bradley Mackay,3,15,LOST,60,100,85,60,30,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/7ReDsdzhdtPq,Bradley Mackay,First,Kieran Parsons,3,18,WON,100,100,46,97,45,113,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,George Bamber,Second,Steve Henry,1,22,WON,43,56,42,180,25,123,16,16,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,Steve Henry,First,George Bamber,1,24,LOST,95,60,60,27,28,19,23,79,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,George Bamber,First,Steve Henry,2,21,LOST,26,27,119,30,99,100,81,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,Steve Henry,Second,George Bamber,2,19,WON,57,83,95,121,45,80,20,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,George Bamber,Second,Steve Henry,3,21,WON,119,98,58,26,80,28,92,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,Steve Henry,First,George Bamber,3,21,LOST,41,21,67,95,41,95,33,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,George Bamber,First,Steve Henry,4,15,WON,57,140,62,180,62,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/rMx6quMnWbgV,Steve Henry,Second,George Bamber,4,12,LOST,57,95,41,57,,,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,Kieran Parsons,First,George Bamber,1,21,WON,60,28,100,85,94,41,93,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,George Bamber,Second,Kieran Parsons,1,18,LOST,81,40,84,58,78,28,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,Kieran Parsons,Second,George Bamber,2,29,WON,140,26,59,60,42,83,71,10,5,5,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,George Bamber,First,Kieran Parsons,2,30,LOST,27,100,60,84,51,49,24,53,33,0,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,Kieran Parsons,First,George Bamber,3,24,LOST,81,80,44,60,26,60,60,56,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,George Bamber,Second,Kieran Parsons,3,23,WON,60,54,83,9,100,85,50,60,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,Kieran Parsons,Second,George Bamber,4,18,LOST,140,45,94,45,41,62,,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,George Bamber,First,Kieran Parsons,4,20,WON,58,97,53,96,140,17,40,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,Kieran Parsons,First,George Bamber,5,24,LOST,50,40,41,40,85,43,13,59,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/dauUNZnexxZS,George Bamber,Second,Kieran Parsons,5,23,WON,60,27,85,55,140,8,90,36,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Bradley Mackay,Second,Steve Henry,1,20,WON,58,140,140,43,60,21,39,,,,,,,,,
Hammersmith,,,05-10-2025,Group 2,https://www.dartsatlas.com/matches/aTBQHbEjrSL5,Steve Henry,First,Bradley Mackay,1,21,LOST,81,47,60,58,81,85,39,,,,,,,,,
