Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,Second,Shane Edwards,3,15,LOST,100,36,100,133,100,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,Second,John Walters,4,23,WON,57,100,96,121,55,40,0,32
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,First,Shane Edwards,4,24,LOST,40,41,24,58,60,23,57,140
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,First,John Walters,5,21,LOST,120,96,60,134,42,17,16,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,Second,Shane Edwards,5,19,WON,45,60,140,58,82,96,20,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,Shane Edwards,Second,John Walters,6,18,LOST,81,62,60,40,41,97,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/zijZX0qjBatk,John Walters,First,Shane Edwards,6,19,WON,99,140,92,98,64,0,8,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Kieran Tynan,First,Charlie Green,1,21,LOST,43,78,36,40,85,85,11,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Charlie Green,Second,Kieran Tynan,1,19,WON,60,140,60,98,93,30,20,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Kieran Tynan,Second,Charlie Green,2,18,LOST,45,46,58,63,81,85,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Charlie Green,First,Kieran Tynan,2,19,WON,100,81,43,81,140,36,20,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Kieran Tynan,First,Charlie Green,3,15,WON,100,140,140,41,80,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Charlie Green,Second,Kieran Tynan,3,12,LOST,41,45,96,139,,,,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Kieran Tynan,Second,Charlie Green,4,21,LOST,100,60,28,60,41,100,72,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Charlie Green,First,Kieran Tynan,4,22,WON,40,43,140,100,78,60,20,20
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Kieran Tynan,First,Charlie Green,5,21,LOST,41,100,60,72,44,100,37,
Footscray,,,15/08/2025,Quarter-Final,https://www.dartsatlas.com/matches/byd18FdmQLbc,Charlie Green,Second,Kieran Tynan,5,20,WON,100,100,28,96,43,94,40,
