Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,First,Kurtis Atkins,7,15,LOST,100,60,99,43,44,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,First,Charlie Green,8,19,WON,180,41,85,45,118,24,8,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,Second,Kurtis Atkins,8,18,LOST,100,41,40,58,134,56,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Kurtis Atkins,Second,Charlie Green,9,18,WON,60,85,100,58,134,64,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/pFJDw4TmJElI,Charlie Green,First,Kurtis Atkins,9,18,LOST,85,97,139,41,99,35,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,Second,George Whyte,1,17,WON,45,140,140,60,98,18,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,First,Nick Ellis,1,18,LOST,45,100,59,137,60,60,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,First,George Whyte,2,18,LOST,121,60,140,40,100,0,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,Second,Nick Ellis,2,18,WON,100,81,100,60,100,60,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,Second,George Whyte,3,15,LOST,96,41,40,85,87,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,First,Nick Ellis,3,18,WON,84,84,100,56,99,78,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,First,George Whyte,4,19,WON,100,57,100,58,140,26,20,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,Second,Nick Ellis,4,18,LOST,41,56,180,100,28,87,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,Second,George Whyte,5,14,WON,100,100,140,97,64,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,First,Nick Ellis,5,15,LOST,44,100,140,81,112,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,First,George Whyte,6,15,LOST,57,100,60,100,45,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,Second,Nick Ellis,6,14,WON,136,100,87,100,78,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,Second,George Whyte,7,15,LOST,140,45,100,100,100,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,First,Nick Ellis,7,16,WON,100,60,140,97,84,20,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,First,George Whyte,8,13,WON,60,180,131,96,34,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,Second,Nick Ellis,8,12,LOST,45,58,55,100,,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,Nick Ellis,Second,George Whyte,9,15,WON,140,140,100,116,5,,,,,,
Morden,,,13/04/2025,Semi-Final,https://www.dartsatlas.com/matches/8iXJ7r9qQqon,George Whyte,First,Nick Ellis,9,15,LOST,60,134,28,59,28,,,,,,
Morden,,,13/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/NdmrFF61TAgE,Paul Tudor,Second,Kurtis Atkins,1,15,LOST,60,140,45,100,83,,,,,,
