Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,John Power,First,Nick Ellis,2,15,LOST,60,100,22,58,100,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,Nick Ellis,First,John Power,3,17,WON,140,60,100,57,88,56,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,John Power,Second,Nick Ellis,3,15,LOST,82,100,100,95,92,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,Nick Ellis,Second,John Power,4,12,LOST,180,57,60,60,,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,John Power,First,Nick Ellis,4,15,WON,100,100,100,100,101,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,Nick Ellis,First,John Power,5,11,WON,180,140,165,16,,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/yGC3yLUCk4o0,John Power,Second,Nick Ellis,5,9,LOST,121,60,100,,,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Darryl Pilgrim,First,Paul Tudor,1,16,WON,59,180,95,87,60,20,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Paul Tudor,Second,Darryl Pilgrim,1,15,LOST,22,85,97,137,55,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Darryl Pilgrim,Second,Paul Tudor,2,15,LOST,40,83,85,81,140,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Paul Tudor,First,Darryl Pilgrim,2,17,WON,100,140,100,90,51,20,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Darryl Pilgrim,First,Paul Tudor,3,18,WON,26,57,140,180,79,19,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Paul Tudor,Second,Darryl Pilgrim,3,15,LOST,100,60,100,45,28,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Darryl Pilgrim,Second,Paul Tudor,4,11,WON,137,140,180,44,,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Paul Tudor,First,Darryl Pilgrim,4,12,LOST,22,55,66,81,,,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Darryl Pilgrim,First,Paul Tudor,5,16,WON,100,100,100,121,40,40,,,
Morden,,,24/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FmcOqXb7vwiz,Paul Tudor,Second,Darryl Pilgrim,5,15,LOST,74,55,60,41,97,,,,
