Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,Second,Darryl Pilgrim,3,15,LOST,26,60,100,60,60,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,First,Nick Holman,3,17,WON,60,100,100,100,41,100,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,First,Darryl Pilgrim,4,19,WON,100,95,96,140,54,0,16,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,Second,Nick Holman,4,18,LOST,83,140,40,98,38,48,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,Second,Darryl Pilgrim,5,13,WON,100,100,140,137,24,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,First,Nick Holman,5,15,LOST,180,45,85,86,73,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,First,Darryl Pilgrim,6,21,WON,100,60,100,41,36,139,25,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,Second,Nick Holman,6,18,LOST,64,140,80,30,29,96,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,Second,Darryl Pilgrim,7,19,WON,85,140,100,83,75,0,18,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,First,Nick Holman,7,21,LOST,42,58,100,60,60,81,60,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,First,Darryl Pilgrim,8,24,LOST,140,121,60,60,45,51,21,0,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,Second,Nick Holman,8,24,WON,41,26,81,96,99,55,95,8,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Nick Holman,Second,Darryl Pilgrim,9,15,LOST,41,64,60,80,77,,,,,,
Redhill,,,02/05/2025,Semi-Final,https://www.dartsatlas.com/matches/jVnIhdWaZxI1,Darryl Pilgrim,First,Nick Holman,9,18,WON,60,96,96,59,134,56,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Jacob Gear,First,Ryan Cross,1,22,WON,137,134,43,60,91,0,18,18,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Ryan Cross,Second,Jacob Gear,1,21,LOST,140,49,77,40,76,47,56,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Jacob Gear,Second,Ryan Cross,2,24,LOST,54,31,60,60,45,60,85,74,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Ryan Cross,First,Jacob Gear,2,25,WON,41,44,82,44,43,29,135,43,40,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Jacob Gear,First,Ryan Cross,3,22,WON,59,46,60,100,60,60,80,36,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Ryan Cross,Second,Jacob Gear,3,21,LOST,23,81,85,100,26,54,27,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Jacob Gear,Second,Ryan Cross,4,33,WON,40,100,60,58,100,58,78,0,5,0,2
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Ryan Cross,First,Jacob Gear,4,33,LOST,81,43,95,29,70,38,57,49,17,0,12
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Jacob Gear,First,Ryan Cross,5,19,WON,45,180,180,56,0,0,40,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/Ojj76FbhM3I8,Ryan Cross,Second,Jacob Gear,5,18,LOST,100,13,70,44,60,84,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,Cameron Cross,Second,James Willcox,1,24,LOST,100,100,40,39,100,76,36,0,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,James Willcox,First,Cameron Cross,1,25,WON,40,134,81,60,3,97,49,29,8,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,Cameron Cross,First,James Willcox,2,24,LOST,59,68,26,44,140,98,46,15,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,James Willcox,Second,Cameron Cross,2,23,WON,81,60,58,56,60,60,46,80,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,Cameron Cross,Second,James Willcox,3,21,LOST,45,100,82,54,42,55,55,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,James Willcox,First,Cameron Cross,3,24,WON,81,60,140,60,87,53,15,5,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,Cameron Cross,First,James Willcox,4,21,LOST,60,30,60,100,171,18,60,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/IOtOnphkAi2z,James Willcox,Second,Cameron Cross,4,20,WON,41,121,95,55,39,98,52,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,First,Steve Henry,1,22,WON,81,45,121,22,95,105,0,32,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,Second,Nick Holman,1,21,LOST,26,95,81,47,46,58,88,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,Second,Steve Henry,2,15,LOST,140,45,43,140,93,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,First,Nick Holman,2,17,WON,100,80,140,59,97,25,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,First,Steve Henry,3,18,WON,100,140,41,60,80,80,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,Second,Nick Holman,3,15,LOST,59,81,60,60,59,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,Second,Steve Henry,4,15,WON,100,78,140,100,83,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,First,Nick Holman,4,15,LOST,55,35,140,100,36,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,First,Steve Henry,5,24,LOST,55,22,83,81,60,40,100,40,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,Second,Nick Holman,5,24,WON,30,45,80,83,80,57,54,72,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Nick Holman,Second,Steve Henry,6,22,WON,100,140,100,45,44,40,0,32,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/FQ7Hn1Ou8rkc,Steve Henry,First,Nick Holman,6,24,LOST,85,55,60,11,41,81,134,18,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Darryl Pilgrim,First,Shane Edwards,1,20,WON,122,100,58,43,138,20,20,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Shane Edwards,Second,Darryl Pilgrim,1,18,LOST,45,60,64,65,81,150,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Darryl Pilgrim,Second,Shane Edwards,2,14,WON,180,121,60,120,20,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Shane Edwards,First,Darryl Pilgrim,2,15,LOST,85,21,80,80,39,,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Darryl Pilgrim,First,Shane Edwards,3,21,WON,58,99,60,100,60,42,82,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Shane Edwards,Second,Darryl Pilgrim,3,18,LOST,100,80,82,70,37,60,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Darryl Pilgrim,Second,Shane Edwards,4,17,WON,58,134,139,94,36,40,,,,,
Redhill,,,02/05/2025,Quarter-Final,https://www.dartsatlas.com/matches/UC4daElZkkny,Shane Edwards,First,Darryl Pilgrim,4,18,LOST,140,26,21,81,53,100,,,,,
