Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17,Throw_18,Throw_19,Throw_20,Throw_21
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,Second,Terry Young,3,12,LOST,42,40,125,98,,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,First,John Mcdermott,3,13,WON,95,180,140,50,36,,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,First,Terry Young,4,21,LOST,39,78,41,60,41,24,76,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,Second,John Mcdermott,4,19,WON,60,43,81,140,81,56,40,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,Second,Terry Young,5,27,LOST,55,45,43,58,60,80,44,58,18,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,First,John Mcdermott,5,29,WON,55,23,100,58,57,100,24,33,19,32,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,John Mcdermott,First,Terry Young,6,18,LOST,84,83,44,80,60,44,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/a4KGw3miJiGj,Terry Young,Second,John Mcdermott,6,16,WON,121,95,81,100,72,32,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,First,Liam Saxon,1,21,WON,60,100,100,96,59,54,32,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,Second,Andy Ward,1,18,LOST,28,46,125,58,57,44,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,Second,Liam Saxon,2,18,LOST,26,100,121,28,140,36,,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Liam Saxon,First,Andy Ward,2,19,WON,60,60,140,96,77,36,32,,,,,,,,,,,,,,
Ruislip,,,31/01/2025,Quarter-Final,https://www.dartsatlas.com/matches/ZTqINzOkPzwK,Andy Ward,First,Liam Saxon,3,18,LOST,57,45,140,99,42,58,,,,,,,,,,,,,,,
