Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,Tamas Nagy,Second,John Mcdermott,1,24,LOST,66,60,26,121,43,30,39,56,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,John Mcdermott,Second,Tamas Nagy,2,21,LOST,22,27,85,43,85,26,57,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,Tamas Nagy,First,John Mcdermott,2,22,WON,85,60,29,55,85,100,69,18,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,John Mcdermott,First,Tamas Nagy,3,30,WON,23,58,85,41,41,40,59,41,50,63,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,Tamas Nagy,Second,John Mcdermott,3,27,LOST,60,42,60,41,60,14,140,43,9,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,John Mcdermott,Second,Tamas Nagy,4,27,LOST,38,119,81,43,78,54,70,10,6,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,Tamas Nagy,First,John Mcdermott,4,29,WON,41,45,100,125,60,44,38,32,0,16,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,John Mcdermott,First,Tamas Nagy,5,22,WON,40,52,123,68,40,134,18,26,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/i55M9EcZHPKd,Tamas Nagy,Second,John Mcdermott,5,21,LOST,22,81,45,60,121,97,73,,,,,,
Wood Green,,,06/07/2025,Group 1,https://www.dartsatlas.com/matches/VDON26J9BhF1,Tomasz Lach,Second,Sebastian Bond,1,21,WON,60,140,78,30,81,35,77,,,,,,
