Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Hamond Kumar,Second,Kian Dominguez,8,25,WON,60,80,60,60,15,140,54,24,8,
Ruislip,,,26-09-2025,Semi-Final,https://www.dartsatlas.com/matches/QZp2nfzJtVUG,Kian Dominguez,First,Hamond Kumar,8,27,LOST,39,41,123,44,140,40,68,4,0,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Rob Message,First,Paul Upfold,1,29,WON,40,30,100,100,60,45,90,0,18,18
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Paul Upfold,Second,Rob Message,1,27,LOST,46,19,45,60,100,79,60,37,35,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Rob Message,Second,Paul Upfold,2,24,LOST,55,55,43,81,60,45,122,0,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Paul Upfold,First,Rob Message,2,26,WON,35,140,59,100,60,75,16,12,4,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Rob Message,First,Paul Upfold,3,21,LOST,81,45,59,40,121,30,41,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Paul Upfold,Second,Rob Message,3,21,WON,43,85,60,28,95,100,90,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Rob Message,Second,Paul Upfold,4,24,LOST,40,60,81,30,46,31,43,45,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Paul Upfold,First,Rob Message,4,26,WON,65,81,59,100,60,40,56,0,40,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Rob Message,First,Paul Upfold,5,30,LOST,41,100,40,44,45,81,40,92,0,0
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/snUr4osRZPtZ,Paul Upfold,Second,Rob Message,5,30,WON,43,41,100,60,45,100,52,44,0,16
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,John Mcdermott,First,Sam Doherty,1,28,WON,100,26,43,60,60,42,78,76,0,16
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,Sam Doherty,Second,John Mcdermott,1,27,LOST,30,28,44,15,58,60,46,15,45,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,John Mcdermott,Second,Sam Doherty,2,19,WON,78,60,85,100,138,20,20,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,Sam Doherty,First,John Mcdermott,2,21,LOST,60,26,45,45,57,40,43,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,John Mcdermott,First,Sam Doherty,3,24,LOST,81,45,40,100,81,58,56,20,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,Sam Doherty,Second,John Mcdermott,3,22,WON,99,82,30,30,60,60,120,20,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,John Mcdermott,Second,Sam Doherty,4,24,WON,62,41,100,41,81,60,58,58,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,Sam Doherty,First,John Mcdermott,4,24,LOST,64,35,41,65,45,44,41,46,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,John Mcdermott,First,Sam Doherty,5,24,WON,100,27,59,129,42,24,40,80,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/0QhceE5wgLvd,Sam Doherty,Second,John Mcdermott,5,21,LOST,29,30,26,45,11,41,97,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Hamond Kumar,First,Jaime Message,1,19,WON,81,62,140,100,80,6,32,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Jaime Message,Second,Hamond Kumar,1,18,LOST,26,60,47,41,83,32,,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Hamond Kumar,Second,Jaime Message,2,13,WON,140,140,100,103,18,,,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Jaime Message,First,Hamond Kumar,2,15,LOST,28,85,40,9,60,,,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Hamond Kumar,First,Jaime Message,3,21,LOST,11,100,100,60,78,60,56,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Jaime Message,Second,Hamond Kumar,3,19,WON,100,55,100,100,58,80,8,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Hamond Kumar,Second,Jaime Message,4,27,WON,60,100,90,41,60,60,36,44,10,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Jaime Message,First,Hamond Kumar,4,27,LOST,55,36,45,45,81,99,90,30,10,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Hamond Kumar,First,Jaime Message,5,26,WON,60,60,43,100,45,60,59,42,32,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/YqAmkNsglVQA,Jaime Message,Second,Hamond Kumar,5,24,LOST,26,81,85,45,26,46,30,44,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Kian Dominguez,Second,Jono Harding,1,30,WON,78,60,45,40,44,24,81,93,18,18
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Jono Harding,First,Kian Dominguez,1,30,LOST,60,45,20,59,59,45,100,30,17,29
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Kian Dominguez,First,Jono Harding,2,24,WON,60,85,100,96,81,0,39,40,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Jono Harding,Second,Kian Dominguez,2,21,LOST,30,60,41,55,100,100,43,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Kian Dominguez,Second,Jono Harding,3,21,WON,25,60,59,180,137,30,10,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Jono Harding,First,Kian Dominguez,3,21,LOST,45,23,65,47,30,28,28,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Kian Dominguez,First,Jono Harding,4,18,WON,100,100,100,60,58,83,,,,
Ruislip,,,26-09-2025,Quarter-Final,https://www.dartsatlas.com/matches/IumkhdoKrjru,Jono Harding,Second,Kian Dominguez,4,15,LOST,81,85,45,45,85,,,,,
