Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,First,Edgar Znutins,5,14,WON,120,100,125,60,96,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Edgar Znutins,First,Kieran Parsons,6,16,WON,134,57,63,81,154,12,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/aN7ul0TP1a93,Kieran Parsons,Second,Edgar Znutins,6,15,LOST,97,44,45,48,61,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,Second,Tom Riding,1,21,WON,36,60,60,100,59,125,61,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,First,Steve Henry,1,21,LOST,41,140,39,77,100,48,46,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,First,Tom Riding,2,23,WON,100,86,100,96,79,30,6,4,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,Second,Steve Henry,2,21,LOST,95,100,60,60,32,63,51,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,Second,Tom Riding,3,12,LOST,85,60,60,29,,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,First,Steve Henry,3,15,WON,180,83,121,97,20,,,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,First,Tom Riding,4,21,LOST,28,60,40,44,100,26,33,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Tom Riding,Second,Steve Henry,4,21,WON,40,140,100,180,9,0,32,,,
Moretown,,,05-09-2025,Semi-Final,https://www.dartsatlas.com/matches/tcfIABdPJKPl,Steve Henry,Second,Tom Riding,5,15,LOST,46,26,46,60,40,,,,,
